Step 0, overlap = 0.705, params = -60.7154, -26.4263, -0.0175, 1.2568
Step 1, overlap = 0.717, params = -60.6649, -26.4661, -0.0349, 1.2468
Step 2, overlap = 0.729, params = -60.6145, -26.5059, -0.0524, 1.2368
Step 3, overlap = 0.742, params = -60.5640, -26.5457, -0.0698, 1.2268
Step 4, overlap = 0.750, params = -60.5136, -26.5856, -0.0873, 1.2168
Step 5, overlap = 0.757, params = -60.4631, -26.6254, -0.0698, 1.2068
Step 6, overlap = 0.760, params = -60.4127, -26.6652, -0.0524, 1.1968
Step 7, overlap = 0.765, params = -60.3622, -26.6254, -0.0698, 1.1868
Step 8, overlap = 0.765, params = -60.3118, -26.6652, -0.0524, 1.1768
Step 9, overlap = 0.769, params = -60.2613, -26.6254, -0.0698, 1.1668
Step 10, overlap = 0.768, params = -60.2109, -26.6652, -0.0524, 1.1568
Step 11, overlap = 0.771, params = -60.1604, -26.6254, -0.0698, 1.1468
Step 12, overlap = 0.769, params = -60.2109, -26.6652, -0.0524, 1.1368
Step 13, overlap = 0.772, params = -60.1604, -26.6254, -0.0698, 1.1268
Step 14, overlap = 0.769, params = -60.2109, -26.6652, -0.0524, 1.1168
Step 15, overlap = 0.772, params = -60.1604, -26.6254, -0.0698, 1.1068
Step 16, overlap = 0.769, params = -60.2109, -26.6652, -0.0524, 1.0968
Step 17, overlap = 0.772, params = -60.2613, -26.6254, -0.0698, 1.1068
Step 18, overlap = 0.775, params = -60.2109, -26.5856, -0.0524, 1.0968
Step 19, overlap = 0.772, params = -60.2613, -26.6254, -0.0349, 1.0868
Step 20, overlap = 0.775, params = -60.2109, -26.5856, -0.0524, 1.0968
Step 21, overlap = 0.775, params = -60.2058, -26.5895, -0.0506, 1.0958
Step 22, overlap = 0.776, params = -60.2008, -26.5856, -0.0489, 1.0948
Step 23, overlap = 0.776, params = -60.1957, -26.5895, -0.0471, 1.0938
Step 24, overlap = 0.776, params = -60.1907, -26.5856, -0.0454, 1.0928
Step 25, overlap = 0.776, params = -60.1856, -26.5895, -0.0436, 1.0918
Step 26, overlap = 0.776, params = -60.1806, -26.5856, -0.0419, 1.0908
Step 27, overlap = 0.777, params = -60.1856, -26.5816, -0.0401, 1.0898
Step 28, overlap = 0.777, params = -60.1806, -26.5856, -0.0384, 1.0888
Step 29, overlap = 0.777, params = -60.1856, -26.5816, -0.0367, 1.0878
Step 30, overlap = 0.777, params = -60.1806, -26.5776, -0.0349, 1.0868
Step 31, overlap = 0.777, params = -60.1856, -26.5816, -0.0332, 1.0858
Step 32, overlap = 0.778, params = -60.1806, -26.5776, -0.0314, 1.0848
Step 33, overlap = 0.778, params = -60.1756, -26.5736, -0.0297, 1.0838
Step 34, overlap = 0.778, params = -60.1806, -26.5776, -0.0279, 1.0828
Step 35, overlap = 0.778, params = -60.1756, -26.5736, -0.0262, 1.0818
Step 36, overlap = 0.778, params = -60.1806, -26.5696, -0.0244, 1.0808
Step 37, overlap = 0.779, params = -60.1756, -26.5736, -0.0227, 1.0798
Step 38, overlap = 0.779, params = -60.1705, -26.5696, -0.0209, 1.0788
Step 39, overlap = 0.779, params = -60.1756, -26.5656, -0.0192, 1.0778
Step 40, overlap = 0.779, params = -60.1806, -26.5696, -0.0175, 1.0768
Step 41, overlap = 0.779, params = -60.1756, -26.5656, -0.0157, 1.0758
Step 42, overlap = 0.780, params = -60.1705, -26.5617, -0.0140, 1.0748
Step 43, overlap = 0.780, params = -60.1756, -26.5577, -0.0122, 1.0738
Step 44, overlap = 0.780, params = -60.1806, -26.5617, -0.0105, 1.0728
Step 45, overlap = 0.780, params = -60.1756, -26.5577, -0.0087, 1.0718
Step 46, overlap = 0.781, params = -60.1705, -26.5537, -0.0070, 1.0708
Step 47, overlap = 0.780, params = -60.1756, -26.5577, -0.0052, 1.0698
Step 48, overlap = 0.781, params = -60.1705, -26.5537, -0.0070, 1.0708
