Step 0, overlap = 0.878, params = -63.7618, -32.0879, 0.0175, 0.7175
Step 1, overlap = 0.882, params = -63.7218, -32.1429, 0.0349, 0.7075
Step 2, overlap = 0.883, params = -63.7618, -32.1979, 0.0524, 0.6975
Step 3, overlap = 0.887, params = -63.7218, -32.2529, 0.0698, 0.6875
Step 4, overlap = 0.892, params = -63.6818, -32.1979, 0.0873, 0.6775
Step 5, overlap = 0.893, params = -63.7218, -32.2529, 0.1047, 0.6675
Step 6, overlap = 0.894, params = -63.6818, -32.3079, 0.1222, 0.6575
Step 7, overlap = 0.894, params = -63.7218, -32.2529, 0.1047, 0.6475
Step 8, overlap = 0.894, params = -63.7618, -32.3079, 0.1222, 0.6375
Step 9, overlap = 0.894, params = -63.7218, -32.2529, 0.1396, 0.6275
Step 10, overlap = 0.894, params = -63.7618, -32.3079, 0.1222, 0.6375
Step 11, overlap = 0.894, params = -63.7218, -32.2529, 0.1396, 0.6275
Step 12, overlap = 0.895, params = -63.7258, -32.2584, 0.1379, 0.6285
Step 13, overlap = 0.895, params = -63.7298, -32.2639, 0.1361, 0.6295
Step 14, overlap = 0.895, params = -63.7338, -32.2694, 0.1344, 0.6305
Step 15, overlap = 0.895, params = -63.7378, -32.2749, 0.1326, 0.6315
Step 16, overlap = 0.895, params = -63.7418, -32.2804, 0.1309, 0.6325
Step 17, overlap = 0.895, params = -63.7378, -32.2859, 0.1292, 0.6335
Step 18, overlap = 0.895, params = -63.7418, -32.2914, 0.1274, 0.6345
Step 19, overlap = 0.895, params = -63.7378, -32.2969, 0.1257, 0.6335
Step 20, overlap = 0.895, params = -63.7338, -32.3024, 0.1239, 0.6325
Step 21, overlap = 0.895, params = -63.7378, -32.3079, 0.1222, 0.6315
Step 22, overlap = 0.895, params = -63.7338, -32.3134, 0.1204, 0.6305
Step 23, overlap = 0.895, params = -63.7298, -32.3079, 0.1187, 0.6295
Step 24, overlap = 0.895, params = -63.7338, -32.3134, 0.1169, 0.6285
Step 25, overlap = 0.895, params = -63.7298, -32.3189, 0.1152, 0.6275
Step 26, overlap = 0.895, params = -63.7258, -32.3134, 0.1134, 0.6265
Step 27, overlap = 0.895, params = -63.7298, -32.3189, 0.1117, 0.6255
Step 28, overlap = 0.895, params = -63.7258, -32.3244, 0.1100, 0.6245
Step 29, overlap = 0.895, params = -63.7298, -32.3189, 0.1082, 0.6235
Step 30, overlap = 0.895, params = -63.7258, -32.3244, 0.1100, 0.6225
Step 31, overlap = 0.895, params = -63.7298, -32.3299, 0.1082, 0.6215
Step 32, overlap = 0.895, params = -63.7258, -32.3244, 0.1065, 0.6205
Step 33, overlap = 0.895, params = -63.7298, -32.3299, 0.1047, 0.6195
Step 34, overlap = 0.895, params = -63.7258, -32.3354, 0.1030, 0.6185
Step 35, overlap = 0.895, params = -63.7218, -32.3299, 0.1012, 0.6175
Step 36, overlap = 0.895, params = -63.7258, -32.3354, 0.0995, 0.6185
Step 37, overlap = 0.895, params = -63.7218, -32.3299, 0.1012, 0.6175
