pcia	sup
Buenos Aires	305907.4
Catamarca	101486.1
Chaco	99763.3
Chubut	224302.3
Ciudad Autónoma de Buenos Aires	205.9
Córdoba	164707.8
Corrientes	89123.3
Entre Ríos	78383.7
Formosa	75488.3
Jujuy	53244.2
La Pampa	143492.5
La Rioja	91493.7
Mendoza	149069.2
Misiones	29911.4
Neuquén	94422.0
Río Negro	202168.6
Salta	155340.5
San Juan	88296.2
San Luis	75347.1
Santa Cruz	244457.5
Santa Fe	133249.1
Santiago del Estero	136934.3
Tierra del Fuego, Antártida e Islas del Atlántico Sur	910324.4
Tucumán	22592.1
